,Date,User,Tweet
91,2022-08-18 20:49:23+00:00,SiphamandlaGoge,@ZimasaMatiwane @boohley 😂
92,2022-08-18 20:48:18+00:00,SiphamandlaGoge,@Gentleman_343 Hahahaha.
93,2022-08-18 20:48:00+00:00,SiphamandlaGoge,"@dumingo33 Cha, sawenza last week. Wenziwa njalo yini kanti? Angithi kwashonwa kanye nje?"
94,2022-08-18 20:45:52+00:00,SiphamandlaGoge,"@Kylejamesbrandt Ewu, kwakunzima."
95,2022-08-18 20:45:01+00:00,SiphamandlaGoge,@MDIMA64526158 Ngiyabonga.
96,2022-08-18 20:44:34+00:00,SiphamandlaGoge,@boohley @ZimasaMatiwane Hahahahah
97,2022-08-18 20:42:51+00:00,SiphamandlaGoge,@BongeMacupe 😂😂😂
98,2022-08-18 20:36:24+00:00,SiphamandlaGoge,"#InkosiEsibayeni AmaZulu King, MisuZulu KaZwelithini leaves KwaKhangelamankengane Palace. He went on a hunt earlier today ahead of a significant traditional ceremony ukungena esibayeni on Saturday. #eNCA https://t.co/BRYIuemRfu"
99,2022-08-18 20:34:54+00:00,SiphamandlaGoge,@Senzose83311293 @Thabskhu 😂
100,2022-08-18 18:43:58+00:00,SiphamandlaGoge,"@christwittey @Solo_Jr2 Angikho e-Gauteng mfowethu, angeke ngazi ukuthi ubukuphi umbhobho."
101,2022-08-18 17:35:12+00:00,SiphamandlaGoge,@nomsa_maseko 😂😂😂🙈
102,2022-08-18 16:39:58+00:00,SiphamandlaGoge,"@masingatw Cha mfowethu, lutho 😂😂"
103,2022-08-18 16:39:32+00:00,SiphamandlaGoge,@MathewsNtanzi 😂😂😂😂
104,2022-08-18 16:35:01+00:00,SiphamandlaGoge,"@masingatw Angazi, mina ngiKwaZulu-Natal."
105,2022-08-18 07:26:04+00:00,SiphamandlaGoge,@Xolo_Biyase Kade yagcwala 😂
106,2022-08-18 05:33:43+00:00,SiphamandlaGoge,@Cmfundisi 😂😂😂 bayangisukela bakithi.
107,2022-08-18 05:02:24+00:00,SiphamandlaGoge,@Sawoni22 😂😂😂awuze nayo.
